direction,hour,departures,headways_n,mean_headway_min,median_headway_min,cv_headway,short_ratio,bunching_index
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,0,6,5,11.0,11.0,0.335,0.0,0.0671
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,1,6,5,9.6,8.0,0.705,0.2,0.2611
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,2,7,6,9.167,7.5,0.682,0.167,0.2365
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,3,7,6,9.167,7.5,0.682,0.167,0.2365
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,4,6,5,292.2,25.0,1.863,0.0,0.3727
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,5,7,6,8.0,5.5,0.54,0.0,0.108
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,6,11,10,5.7,4.5,0.532,0.2,0.2265
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,7,24,22,2.455,2.0,0.438,0.682,0.4967
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,8,29,28,2.107,2.0,0.463,0.607,0.4569
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,9,30,29,2.034,2.0,0.437,0.586,0.4392
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,10,18,17,3.235,4.0,0.536,0.353,0.3189
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,11,18,17,3.235,4.0,0.525,0.353,0.3168
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,12,23,18,3.278,4.0,0.506,0.333,0.3013
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,13,30,25,2.36,2.0,0.507,0.52,0.4134
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,14,30,29,2.034,1.0,0.626,0.586,0.4768
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,15,30,29,2.034,1.0,0.626,0.586,0.4768
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,16,30,29,2.034,1.0,0.626,0.586,0.4768
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,17,31,27,2.185,2.0,0.598,0.593,0.4751
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,18,26,18,3.167,2.5,0.642,0.5,0.4285
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,19,19,17,3.294,3.0,0.463,0.294,0.2691
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,20,13,12,4.25,2.0,0.854,0.5,0.4709
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,21,7,6,8.833,10.0,0.354,0.0,0.0709
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,22,8,7,8.0,6.0,0.53,0.0,0.1061
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,23,8,7,8.143,3.0,0.877,0.286,0.3468
direction_2: Hamburg Hbf ZOB -> A Burgwedel,0,1,0,0.0,0.0,0.0,0.0,0.0
direction_2: Hamburg Hbf ZOB -> A Burgwedel,1,0,0,0.0,0.0,0.0,0.0,0.0
direction_2: Hamburg Hbf ZOB -> A Burgwedel,2,0,0,0.0,0.0,0.0,0.0,0.0
direction_2: Hamburg Hbf ZOB -> A Burgwedel,3,0,0,0.0,0.0,0.0,0.0,0.0
direction_2: Hamburg Hbf ZOB -> A Burgwedel,4,1,0,0.0,0.0,0.0,0.0,0.0
direction_2: Hamburg Hbf ZOB -> A Burgwedel,5,6,5,10.6,10.0,0.113,0.0,0.0226
direction_2: Hamburg Hbf ZOB -> A Burgwedel,6,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hamburg Hbf ZOB -> A Burgwedel,7,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hamburg Hbf ZOB -> A Burgwedel,8,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hamburg Hbf ZOB -> A Burgwedel,9,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hamburg Hbf ZOB -> A Burgwedel,10,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hamburg Hbf ZOB -> A Burgwedel,11,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hamburg Hbf ZOB -> A Burgwedel,12,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hamburg Hbf ZOB -> A Burgwedel,13,6,5,9.8,10.0,0.041,0.0,0.0082
direction_2: Hamburg Hbf ZOB -> A Burgwedel,14,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hamburg Hbf ZOB -> A Burgwedel,15,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hamburg Hbf ZOB -> A Burgwedel,16,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hamburg Hbf ZOB -> A Burgwedel,17,6,5,10.2,10.0,0.039,0.0,0.0078
direction_2: Hamburg Hbf ZOB -> A Burgwedel,18,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hamburg Hbf ZOB -> A Burgwedel,19,5,4,11.25,10.0,0.192,0.0,0.0385
direction_2: Hamburg Hbf ZOB -> A Burgwedel,20,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hamburg Hbf ZOB -> A Burgwedel,21,5,4,12.75,10.0,0.374,0.0,0.0747
direction_2: Hamburg Hbf ZOB -> A Burgwedel,22,3,2,15.0,15.0,0.333,0.0,0.0667
direction_2: Hamburg Hbf ZOB -> A Burgwedel,23,4,3,16.667,20.0,0.283,0.0,0.0566
