hour,all_segments,direction_1: A Burgwedel -> Hauptbahnhof/ZOB,direction_2: Hamburg Hbf ZOB -> A Burgwedel
0,564,463,101
1,266,181,85
2,210,210,0
3,210,210,0
4,358,338,20
5,572,369,203
6,696,449,247
7,1366,950,416
8,1659,1126,533
9,1991,1388,603
10,1835,1317,518
11,1469,1146,323
12,1470,1163,307
13,1807,1434,373
14,1979,1467,512
15,1910,1370,540
16,1902,1362,540
17,1898,1367,531
18,1857,1442,415
19,1587,1224,363
20,1629,1130,499
21,1319,874,445
22,1001,793,208
23,792,564,228
