rank,from_stop_id,from_stop_name,to_stop_id,to_stop_name,trip_occurrences
1,343825,Nedderfeld,17945,Siemersplatz,643
2,17945,Siemersplatz,632776,Brunsberg,643
3,632776,Brunsberg,13684,Veilchenweg (Ost),643
4,13684,Veilchenweg (Ost),176178,Gärtnerstraße,643
5,176178,Gärtnerstraße,547008,Eppendorfer Weg (Ost),643
6,547008,Eppendorfer Weg (Ost),648132,U Hoheluftbrücke,643
7,648132,U Hoheluftbrücke,658960,Bezirksamt Eimsbüttel,643
8,658960,Bezirksamt Eimsbüttel,254921,Grindelhof,643
9,254921,Grindelhof,276320,Universität/Staatsbibliothek,643
10,276320,Universität/Staatsbibliothek,348986,Bf. Dammtor,643
11,348986,Bf. Dammtor,204156,U Stephansplatz,643
12,204156,U Stephansplatz,74653,U Gänsemarkt,643
13,74653,U Gänsemarkt,605382,U S Jungfernstieg,643
14,605382,U S Jungfernstieg,124065,Rathausmarkt,643
15,124065,Rathausmarkt,489598,Gerhart-Hauptmann-Platz,643
