trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,stop_headsign
50876415,4:16:00,4:16:00,de:02000:86007::860022,0,0,0,
50876415,4:17:00,4:17:00,de:02000:86003::860046,1,0,0,
50876415,4:18:00,4:18:00,de:02000:86010::860051,2,0,0,
50876415,4:19:00,4:19:00,de:02000:86023::860054,3,0,0,
50876415,4:20:00,4:20:00,de:02000:86005::860025,4,0,0,
50876415,4:21:00,4:21:00,de:02000:86018::860027,5,0,0,
50876415,4:23:00,4:23:00,de:02000:86022::910001,6,0,0,
50876415,4:25:00,4:25:00,de:02000:91024::910086,7,0,0,
50876415,4:26:00,4:26:00,de:02000:91023::910087,8,0,0,
50876415,4:29:00,4:29:00,de:02000:91022::910080,9,1,0,
50876415,4:30:00,4:30:00,de:02000:91022::910081,10,0,1,
50876415,4:31:00,4:31:00,de:02000:91021::910077,11,0,0,
50876415,4:33:00,4:33:00,de:02000:91014::910068,12,0,0,
50876415,4:35:00,4:35:00,de:02000:91015::910061,13,0,0,
50876415,4:36:00,4:36:00,de:02000:91016:1:900007,14,0,0,
50876415,4:37:00,4:37:00,de:02000:90017::900066,15,0,0,
50876415,4:38:00,4:38:00,de:02000:90016::900064,16,0,0,
50876415,4:40:00,4:40:00,de:02000:90011:1:900051,17,0,0,
50876415,4:41:00,4:41:00,de:02000:90010::900043,18,0,0,
50876415,4:43:00,4:43:00,de:02000:11029::110081,19,0,0,
50876415,4:45:00,4:45:00,de:02000:11028:2:110122,20,0,0,
50876415,4:46:00,4:46:00,de:02000:11035::110119,21,0,0,
50876415,4:48:00,4:48:00,de:02000:11021::110115,22,0,0,
50876415,4:50:00,4:50:00,de:02000:11022:2:110101,23,0,0,
50876415,4:51:00,4:51:00,de:02000:11013:2:110065,24,0,0,
50876415,4:52:00,4:52:00,de:02000:11012::110063,25,0,0,
50876415,4:53:00,4:53:00,de:02000:11020::110066,26,0,0,
50876415,4:54:00,4:54:00,de:02000:11003:2:110031,27,0,0,
50876415,4:56:00,4:56:00,de:02000:11002::110007,28,0,0,
50876415,4:57:00,4:57:00,de:02000:11001::100001,29,0,0,
50876415,4:59:00,4:59:00,de:02000:10092::100223,30,0,0,
50876415,5:00:00,5:00:00,de:02000:10002:4:100009,31,0,0,
50876413,4:34:00,4:34:00,de:02000:86007::860022,0,0,0,
50876413,4:35:00,4:35:00,de:02000:86003::860046,1,0,0,
50876413,4:36:00,4:36:00,de:02000:86010::860051,2,0,0,
50876413,4:37:00,4:37:00,de:02000:86023::860054,3,0,0,
50876413,4:38:00,4:38:00,de:02000:86005::860025,4,0,0,
50876413,4:39:00,4:39:00,de:02000:86018::860027,5,0,0,
50876413,4:41:00,4:41:00,de:02000:86022::910001,6,0,0,
50876413,4:43:00,4:43:00,de:02000:91024::910086,7,0,0,
50876413,4:44:00,4:44:00,de:02000:91023::910087,8,0,0,
50876413,4:47:00,4:47:00,de:02000:91022::910080,9,1,0,
50876413,4:48:00,4:48:00,de:02000:91022::910081,10,0,1,
50876413,4:50:00,4:50:00,de:02000:91021::910077,11,0,0,
50876413,4:52:00,4:52:00,de:02000:91014::910068,12,0,0,
50876413,4:54:00,4:54:00,de:02000:91015::910061,13,0,0,
50876413,4:55:00,4:55:00,de:02000:91016:1:900007,14,0,0,
50876413,4:57:00,4:57:00,de:02000:90017::900066,15,0,0,
50876413,4:58:00,4:58:00,de:02000:90016::900064,16,0,0,
50876413,5:00:00,5:00:00,de:02000:90011:1:900051,17,0,0,
50876413,5:01:00,5:01:00,de:02000:90010::900043,18,0,0,
50876413,5:03:00,5:03:00,de:02000:11029::110081,19,0,0,
50876413,5:05:00,5:05:00,de:02000:11028:2:110122,20,0,0,
50876413,5:06:00,5:06:00,de:02000:11035::110119,21,0,0,
50876413,5:08:00,5:08:00,de:02000:11021::110115,22,0,0,
50876413,5:10:00,5:10:00,de:02000:11022:2:110101,23,0,0,
50876413,5:11:00,5:11:00,de:02000:11013:2:110065,24,0,0,
50876413,5:12:00,5:12:00,de:02000:11012::110063,25,0,0,
50876413,5:13:00,5:13:00,de:02000:11020::110066,26,0,0,
50876413,5:14:00,5:14:00,de:02000:11003:2:110031,27,0,0,
50876413,5:16:00,5:16:00,de:02000:11002::110007,28,0,0,
50876413,5:17:00,5:17:00,de:02000:11001::100001,29,0,0,
50876413,5:19:00,5:19:00,de:02000:10092::100223,30,0,0,
50876413,5:20:00,5:20:00,de:02000:10002:4:100009,31,0,0,
50876462,4:36:00,4:36:00,de:02000:86007::860022,0,0,0,
50876462,4:37:00,4:37:00,de:02000:86003::860046,1,0,0,
50876462,4:38:00,4:38:00,de:02000:86010::860051,2,0,0,
50876462,4:39:00,4:39:00,de:02000:86023::860054,3,0,0,
50876462,4:40:00,4:40:00,de:02000:86005::860025,4,0,0,
50876462,4:41:00,4:41:00,de:02000:86018::860027,5,0,0,
50876462,4:43:00,4:43:00,de:02000:86022::910001,6,0,0,
50876462,4:45:00,4:45:00,de:02000:91024::910086,7,0,0,
50876462,4:46:00,4:46:00,de:02000:91023::910087,8,0,0,
50876462,4:49:00,4:49:00,de:02000:91022::910080,9,1,0,
50876462,4:50:00,4:50:00,de:02000:91022::910081,10,0,1,
50876462,4:51:00,4:51:00,de:02000:91021::910077,11,0,0,
50876462,4:53:00,4:53:00,de:02000:91014::910068,12,0,0,
50876462,4:55:00,4:55:00,de:02000:91015::910061,13,0,0,
50876462,4:56:00,4:56:00,de:02000:91016:1:900007,14,0,0,
50876462,4:57:00,4:57:00,de:02000:90017::900066,15,0,0,
50876462,4:58:00,4:58:00,de:02000:90016::900064,16,0,0,
50876462,5:00:00,5:00:00,de:02000:90011:1:900051,17,0,0,
50876462,5:01:00,5:01:00,de:02000:90010::900043,18,0,0,
50876462,5:03:00,5:03:00,de:02000:11029::110081,19,0,0,
50876462,5:05:00,5:05:00,de:02000:11028:2:110122,20,0,0,
50876462,5:06:00,5:06:00,de:02000:11035::110119,21,0,0,
50876462,5:08:00,5:08:00,de:02000:11021::110115,22,0,0,
50876462,5:10:00,5:10:00,de:02000:11022:2:110101,23,0,0,
50876462,5:11:00,5:11:00,de:02000:11013:2:110065,24,0,0,
50876462,5:12:00,5:12:00,de:02000:11012::110063,25,0,0,
50876462,5:13:00,5:13:00,de:02000:11020::110066,26,0,0,
50876462,5:14:00,5:14:00,de:02000:11003:2:110031,27,0,0,
50876462,5:15:00,5:15:00,de:02000:11002::110007,28,0,0,
50876462,5:16:00,5:16:00,de:02000:11001::100001,29,0,0,
50876462,5:18:00,5:18:00,de:02000:10092::100223,30,0,0,
50876462,5:19:00,5:19:00,de:02000:10002:4:100009,31,0,0,
50876581,4:48:00,4:48:00,de:02000:86007::860022,0,0,0,
50876581,4:49:00,4:49:00,de:02000:86003::860046,1,0,0,
50876581,4:50:00,4:50:00,de:02000:86010::860051,2,0,0,
50876581,4:51:00,4:51:00,de:02000:86023::860054,3,0,0,
50876581,4:52:00,4:52:00,de:02000:86005::860025,4,0,0,
50876581,4:53:00,4:53:00,de:02000:86018::860027,5,0,0,
50876581,4:54:00,4:54:00,de:02000:86022::910001,6,0,0,
50876581,4:56:00,4:56:00,de:02000:91024::910086,7,0,0,
50876581,4:57:00,4:57:00,de:02000:91023::910087,8,0,0,
50876581,5:00:00,5:00:00,de:02000:91022::910080,9,1,0,
50876581,5:01:00,5:01:00,de:02000:91022::910081,10,0,1,
50876581,5:02:00,5:02:00,de:02000:91021::910077,11,0,0,
50876581,5:04:00,5:04:00,de:02000:91014::910068,12,0,0,
50876581,5:06:00,5:06:00,de:02000:91015::910061,13,0,0,
50876581,5:07:00,5:07:00,de:02000:91016:1:900007,14,0,0,
50876581,5:08:00,5:08:00,de:02000:90017::900066,15,0,0,
50876581,5:09:00,5:09:00,de:02000:90016::900064,16,0,0,
50876581,5:11:00,5:11:00,de:02000:90011:1:900051,17,0,0,
50876581,5:12:00,5:12:00,de:02000:90010::900043,18,0,0,
50876581,5:14:00,5:14:00,de:02000:11029::110081,19,0,0,
50876581,5:16:00,5:16:00,de:02000:11028:2:110122,20,0,0,
50876581,5:17:00,5:17:00,de:02000:11035::110119,21,0,0,
50876581,5:18:00,5:18:00,de:02000:11021::110115,22,0,0,
50876581,5:20:00,5:20:00,de:02000:11022:2:110101,23,0,0,
50876581,5:21:00,5:21:00,de:02000:11013:2:110065,24,0,0,
50876581,5:22:00,5:22:00,de:02000:11012::110063,25,0,0,
50876581,5:24:00,5:24:00,de:02000:11020::110066,26,0,0,
50876581,5:25:00,5:25:00,de:02000:11003:2:110031,27,0,0,
50876581,5:26:00,5:26:00,de:02000:11002::110007,28,0,0,
50876581,5:27:00,5:27:00,de:02000:11001::100001,29,0,0,
50876581,5:29:00,5:29:00,de:02000:10092::100223,30,0,0,
50876581,5:30:00,5:30:00,de:02000:10002:4:100009,31,0,0,
50876412,5:04:00,5:04:00,de:02000:86007::860022,0,0,0,
50876412,5:05:00,5:05:00,de:02000:86003::860046,1,0,0,
50876412,5:06:00,5:06:00,de:02000:86010::860051,2,0,0,
50876412,5:07:00,5:07:00,de:02000:86023::860054,3,0,0,
50876412,5:08:00,5:08:00,de:02000:86005::860025,4,0,0,
50876412,5:09:00,5:09:00,de:02000:86018::860027,5,0,0,
50876412,5:11:00,5:11:00,de:02000:86022::910001,6,0,0,
50876412,5:13:00,5:13:00,de:02000:91024::910086,7,0,0,
50876412,5:14:00,5:14:00,de:02000:91023::910087,8,0,0,
50876412,5:17:00,5:17:00,de:02000:91022::910080,9,1,0,
50876412,5:18:00,5:18:00,de:02000:91022::910081,10,0,1,
50876412,5:20:00,5:20:00,de:02000:91021::910077,11,0,0,
50876412,5:22:00,5:22:00,de:02000:91014::910068,12,0,0,
50876412,5:24:00,5:24:00,de:02000:91015::910061,13,0,0,
50876412,5:25:00,5:25:00,de:02000:91016:1:900007,14,0,0,
50876412,5:27:00,5:27:00,de:02000:90017::900066,15,0,0,
50876412,5:28:00,5:28:00,de:02000:90016::900064,16,0,0,
50876412,5:30:00,5:30:00,de:02000:90011:1:900051,17,0,0,
50876412,5:31:00,5:31:00,de:02000:90010::900043,18,0,0,
50876412,5:33:00,5:33:00,de:02000:11029::110081,19,0,0,
50876412,5:35:00,5:35:00,de:02000:11028:2:110122,20,0,0,
50876412,5:36:00,5:36:00,de:02000:11035::110119,21,0,0,
50876412,5:38:00,5:38:00,de:02000:11021::110115,22,0,0,
50876412,5:40:00,5:40:00,de:02000:11022:2:110101,23,0,0,
50876412,5:41:00,5:41:00,de:02000:11013:2:110065,24,0,0,
50876412,5:42:00,5:42:00,de:02000:11012::110063,25,0,0,
50876412,5:43:00,5:43:00,de:02000:11020::110066,26,0,0,
50876412,5:44:00,5:44:00,de:02000:11003:2:110031,27,0,0,
50876412,5:46:00,5:46:00,de:02000:11002::110007,28,0,0,
50876412,5:47:00,5:47:00,de:02000:11001::100001,29,0,0,
50876412,5:49:00,5:49:00,de:02000:10092::100223,30,0,0,
50876412,5:50:00,5:50:00,de:02000:10002:4:100009,31,0,0,
50876463,5:16:00,5:16:00,de:02000:86007::860022,0,0,0,
50876463,5:17:00,5:17:00,de:02000:86003::860046,1,0,0,
50876463,5:18:00,5:18:00,de:02000:86010::860051,2,0,0,
50876463,5:19:00,5:19:00,de:02000:86023::860054,3,0,0,
50876463,5:20:00,5:20:00,de:02000:86005::860025,4,0,0,
50876463,5:21:00,5:21:00,de:02000:86018::860027,5,0,0,
50876463,5:23:00,5:23:00,de:02000:86022::910001,6,0,0,
50876463,5:25:00,5:25:00,de:02000:91024::910086,7,0,0,
50876463,5:26:00,5:26:00,de:02000:91023::910087,8,0,0,
50876463,5:29:00,5:29:00,de:02000:91022::910080,9,1,0,
50876463,5:30:00,5:30:00,de:02000:91022::910081,10,0,1,
50876463,5:31:00,5:31:00,de:02000:91021::910077,11,0,0,
50876463,5:33:00,5:33:00,de:02000:91014::910068,12,0,0,
50876463,5:35:00,5:35:00,de:02000:91015::910061,13,0,0,
50876463,5:36:00,5:36:00,de:02000:91016:1:900007,14,0,0,
50876463,5:37:00,5:37:00,de:02000:90017::900066,15,0,0,
50876463,5:38:00,5:38:00,de:02000:90016::900064,16,0,0,
50876463,5:40:00,5:40:00,de:02000:90011:1:900051,17,0,0,
50876463,5:41:00,5:41:00,de:02000:90010::900043,18,0,0,
