service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20250108,20251213
6,0,0,0,0,0,1,0,20250108,20251213
7,1,1,1,1,1,1,1,20250108,20251213
8,1,1,1,1,1,1,0,20250108,20251213
9,0,0,0,0,0,1,1,20250108,20251213
15,0,0,0,0,0,0,1,20250108,20251213
313,0,0,0,0,1,1,0,20250108,20251213
1101,1,1,1,1,1,0,0,20250108,20251213
1102,0,0,0,0,0,0,0,20250108,20251213
1188,1,1,1,1,1,0,0,20250108,20251213
1200,0,0,0,0,0,1,0,20250108,20251213
1201,1,1,1,1,1,1,0,20250108,20251213
1203,0,0,0,0,0,0,1,20250108,20251213
1283,0,0,0,0,0,1,0,20250108,20251213
1284,1,1,1,1,0,0,0,20250108,20251213
1285,0,0,0,0,0,1,1,20250108,20251213
