direction,hour,departures,headways_n,mean_headway_min,median_headway_min,cv_headway,short_ratio,bunching_index
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,0,7,6,7.833,5.0,0.757,0.167,0.2513
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,1,6,5,9.0,5.0,0.544,0.0,0.1089
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,2,6,5,9.0,5.0,0.544,0.0,0.1089
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,3,6,5,9.0,5.0,0.544,0.0,0.1089
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,4,5,4,360.5,21.0,1.655,0.0,0.3311
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,5,8,7,7.143,5.0,0.761,0.143,0.2379
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,6,12,10,5.6,4.5,0.577,0.1,0.1754
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,7,26,25,2.24,2.0,0.569,0.64,0.4977
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,8,29,28,2.036,2.0,0.307,0.786,0.5329
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,9,30,29,2.0,2.0,0.322,0.793,0.5402
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,10,19,18,3.111,4.0,0.556,0.444,0.3778
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,11,18,17,3.235,4.0,0.525,0.353,0.3168
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,12,22,18,3.222,3.0,0.446,0.333,0.2891
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,13,30,28,2.071,2.0,0.427,0.643,0.471
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,14,30,23,2.522,3.0,0.198,0.478,0.3266
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,15,30,23,2.522,3.0,0.198,0.478,0.3266
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,16,30,23,2.522,3.0,0.198,0.478,0.3266
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,17,29,22,2.636,3.0,0.215,0.409,0.2885
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,18,27,24,2.417,2.0,0.596,0.625,0.4943
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,19,20,19,3.053,3.0,0.536,0.474,0.3915
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,20,13,12,4.333,2.0,0.648,0.583,0.4796
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,21,7,6,8.833,10.0,0.336,0.0,0.0672
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,22,8,7,7.857,5.0,0.529,0.0,0.1058
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,23,8,7,8.143,3.0,0.805,0.286,0.3325
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,0,3,2,13.5,13.5,0.481,0.0,0.0963
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,1,0,0,0.0,0.0,0.0,0.0,0.0
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,2,0,0,0.0,0.0,0.0,0.0,0.0
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,3,0,0,0.0,0.0,0.0,0.0,0.0
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,4,1,0,0.0,0.0,0.0,0.0,0.0
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,5,6,5,10.6,10.0,0.113,0.0,0.0226
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,6,6,5,9.8,10.0,0.041,0.0,0.0082
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,7,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,8,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,9,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,10,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,11,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,12,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,13,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,14,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,15,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,16,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,17,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,18,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,19,5,4,11.25,10.0,0.192,0.0,0.0385
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,20,6,5,10.0,10.0,0.0,0.0,0.0
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,21,5,4,12.75,10.0,0.374,0.0,0.0747
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,22,3,2,15.0,15.0,0.333,0.0,0.0667
direction_2: Hauptbahnhof/ZOB -> A Burgwedel,23,4,3,16.667,20.0,0.283,0.0,0.0566
