direction,stop_id,stop_name,hour,departures,headways_n,mean_headway_min,median_headway_min,cv_headway,short_ratio,bunching_index
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,0,4,3,15.667,17.0,0.267,0.0,0.0535
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,1,3,2,20.0,20.0,0.0,0.0,0.0
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,2,3,2,20.0,20.0,0.0,0.0,0.0
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,3,3,2,20.0,20.0,0.0,0.0,0.0
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,4,3,2,20.0,20.0,0.0,0.0,0.0
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,5,6,5,10.0,10.0,0.0,0.0,0.0
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,6,8,7,7.143,5.0,0.346,0.0,0.0693
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,7,17,16,3.5,3.0,0.175,0.0,0.035
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,8,18,17,3.294,3.0,0.138,0.0,0.0277
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,9,18,17,3.294,3.0,0.138,0.0,0.0277
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,10,14,13,4.231,5.0,0.21,0.0,0.0421
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,11,12,11,5.0,5.0,0.0,0.0,0.0
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,12,15,14,4.071,4.0,0.217,0.0,0.0434
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,13,18,17,3.353,3.0,0.143,0.0,0.0285
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,14,18,17,3.353,3.0,0.143,0.0,0.0285
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,15,18,17,3.353,3.0,0.143,0.0,0.0285
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,16,18,17,3.353,3.0,0.143,0.0,0.0285
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,17,17,16,3.438,3.0,0.144,0.0,0.0289
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,18,16,15,3.8,4.0,0.172,0.0,0.0344
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,19,12,11,5.0,5.0,0.0,0.0,0.0
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,20,8,7,7.857,10.0,0.315,0.0,0.063
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,21,6,5,10.0,10.0,0.0,0.0,0.0
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,22,6,5,10.0,10.0,0.0,0.0,0.0
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:90017::900066,Brunsberg,23,6,5,10.0,10.0,0.0,0.0,0.0
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,0,4,3,15.667,17.0,0.267,0.0,0.0535
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,1,3,2,20.0,20.0,0.0,0.0,0.0
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,2,3,2,20.0,20.0,0.0,0.0,0.0
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,3,3,2,20.0,20.0,0.0,0.0,0.0
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,4,3,2,19.5,19.5,0.026,0.0,0.0051
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,5,6,5,10.0,10.0,0.0,0.0,0.0
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,6,9,8,6.75,5.0,0.376,0.0,0.0752
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,7,17,16,3.375,3.0,0.143,0.0,0.0287
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,8,18,17,3.353,3.0,0.143,0.0,0.0285
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,9,18,17,3.353,3.0,0.143,0.0,0.0285
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,10,14,13,4.385,5.0,0.191,0.0,0.0381
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,11,12,11,5.0,5.0,0.0,0.0,0.0
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,12,15,14,3.929,4.0,0.225,0.0,0.045
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,13,18,17,3.235,3.0,0.131,0.0,0.0262
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,14,18,17,3.294,3.0,0.138,0.0,0.0277
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,15,18,17,3.294,3.0,0.138,0.0,0.0277
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,16,18,17,3.294,3.0,0.138,0.0,0.0277
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,17,17,16,3.5,3.0,0.175,0.0,0.035
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,18,16,15,3.867,4.0,0.186,0.0,0.0371
direction_1: A Burgwedel -> Hauptbahnhof/ZOB,de:02000:91015::910061,Nedderfeld,19,12,11,5.0,5.0,0.0,0.0,0.0
