rank,from_stop_id,from_stop_name,to_stop_id,to_stop_name,trip_occurrences
1,de:02000:91015::910061,Nedderfeld,de:02000:91016:1:900007,Siemersplatz,646
2,de:02000:91016:1:900007,Siemersplatz,de:02000:90017::900066,Brunsberg,646
3,de:02000:90017::900066,Brunsberg,de:02000:90016::900064,Veilchenweg (Ost),646
4,de:02000:90016::900064,Veilchenweg (Ost),de:02000:90011:1:900051,Gärtnerstraße,646
5,de:02000:90011:1:900051,Gärtnerstraße,de:02000:90010::900043,Eppendorfer Weg (Ost),646
6,de:02000:90010::900043,Eppendorfer Weg (Ost),de:02000:11029::110081,U Hoheluftbrücke,646
7,de:02000:11029::110081,U Hoheluftbrücke,de:02000:11028:2:110122,Bezirksamt Eimsbüttel,646
8,de:02000:11028:2:110122,Bezirksamt Eimsbüttel,de:02000:11035::110119,Grindelhof,646
9,de:02000:11035::110119,Grindelhof,de:02000:11021::110115,Universität/Staatsbibliothek,646
10,de:02000:11021::110115,Universität/Staatsbibliothek,de:02000:11022:2:110101,Bf. Dammtor,646
11,de:02000:11022:2:110101,Bf. Dammtor,de:02000:11013:2:110065,U Stephansplatz,646
12,de:02000:11013:2:110065,U Stephansplatz,de:02000:11012::110063,U Gänsemarkt,646
13,de:02000:11012::110063,U Gänsemarkt,de:02000:11020::110066,U S Jungfernstieg,646
14,de:02000:11020::110066,U S Jungfernstieg,de:02000:11003:2:110031,Rathausmarkt,646
15,de:02000:11003:2:110031,Rathausmarkt,de:02000:11002::110007,Gerhart-Hauptmann-Platz,646
