stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
A Burgwedel,283770,156628,53.647118,9.908991,,A
A Burgwedel,283770,220307,53.64706,9.908536,,A
Bezirksamt Eimsbüttel,356502,251650,53.572323,9.978411,,
Bezirksamt Eimsbüttel,356502,658960,53.572144,9.978437,,
Bf. Dammtor,445690,348986,53.561283,9.990006,,
Bindfeldweg,348224,483734,53.622265,9.941565,,
Bindfeldweg,348224,80208,53.622536,9.941458,,
Brunsberg,244789,108437,53.59445,9.966668,,
Brunsberg,244789,632776,53.594074,9.966463,,
Burgwedelkamp,161499,369887,53.642525,9.916064,,
Burgwedelkamp,161499,523305,53.642162,9.916342,,
Eppendorfer Weg (Ost),209994,547008,53.582176,9.971677,,
Eppendorfer Weg (Ost),209994,654780,53.58192,9.972072,,
Freizeitbad Bondenwald,340034,456764,53.62601,9.937271,,
Freizeitbad Bondenwald,340034,581241,53.62628,9.93702,,
Frohmestraße (Mitte),506992,262373,53.632492,9.921214,,
Frohmestraße (Mitte),506992,556447,53.63211,9.921523,,
Gerhart-Hauptmann-Platz,136109,489598,53.550777,9.998834,,
Gerhart-Hauptmann-Platz,136109,495010,53.550766,9.998064,,
Graf-Otto-Weg,72592,488683,53.644386,9.90863,,
Grindelhof,479260,254921,53.567272,9.980755,,
Grindelhof,479260,521201,53.56688,9.981109,,
Gärtnerstraße,79465,176178,53.5852,9.968904,,
Gärtnerstraße,79465,451653,53.584873,9.969183,,
HBF/Mönckebergstraße,42513,156980,53.551502,10.003468,,
HBF/Mönckebergstraße,42513,95826,53.55155,10.004331,,
HBF/Steintordamm,13181,287184,53.55193,10.008018,,
HBF/Steintordamm,13181,348961,53.551918,10.006605,,
Hamburg Hbf ZOB,75608,82968,53.55213,10.009954,,
Hauptbahnhof/ZOB,75608,39785,53.551994,10.010237,,
Nedderfeld,510249,217675,53.603935,9.962048,,
Nedderfeld,510249,343825,53.602386,9.962209,,
Nedderfeld,510249,612323,53.604397,9.961847,,
Nedderfeld (Kehre),236216,63263,53.60386,9.962961,,
Niendorfer Straße,517061,39489,53.60952,9.958804,,
Niendorfer Straße,517061,50568,53.61007,9.958292,,
Oldesloer Straße,213000,457167,53.635334,9.918631,,
Oldesloer Straße,213000,664449,53.63567,9.918272,,
Peter-Timm-Straße,94017,221986,53.63958,9.915999,,
Peter-Timm-Straße,94017,580524,53.639694,9.915865,,
Rathausmarkt,7104,124065,53.550003,9.994664,,
Sellhopsweg (Albertinen-Haus),377325,104611,53.629345,9.929223,,
Sellhopsweg (Albertinen-Haus),377325,129578,53.62973,9.928234,,
Siemersplatz,23082,17945,53.59937,9.964226,,
Siemersplatz,23082,669015,53.59949,9.964531,,
U Gänsemarkt,240952,494789,53.555256,9.988767,,U
U Gänsemarkt,240952,74653,53.555256,9.988767,,
U Hoheluftbrücke,474438,648132,53.57831,9.976208,,U
U Niendorf Markt,370293,142610,53.61925,9.952013,,
U Niendorf Markt,370293,404746,53.619507,9.952363,,
U Niendorf Markt,370293,411681,53.61888,9.952094,,
U Niendorf Markt,370293,610875,53.619537,9.952273,,
U S Jungfernstieg,46454,296470,53.553284,9.992629,,U
U S Jungfernstieg,46454,605382,53.553047,9.99288,,U
U Stephansplatz,20935,204156,53.557625,9.988655,,
U Stephansplatz,20935,575353,53.557854,9.989095,,
Universität/Staatsbibliothek,106283,171259,53.564568,9.984074,,
Universität/Staatsbibliothek,106283,276320,53.56432,9.984262,,
Veilchenweg (Ost),384718,13684,53.588734,9.967882,,
Veilchenweg (Ost),384718,279252,53.58858,9.967984,,
Vogt-Cordes-Damm,621308,100359,53.61402,9.951815,,
Vogt-Cordes-Damm,621308,361928,53.61371,9.951914,,
