monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20260329,20260426,552
0,0,0,0,0,1,0,20260328,20260425,377
0,0,0,0,0,1,0,20260328,20260425,653
0,0,0,0,1,0,0,20260403,20260424,782
0,0,0,0,1,0,0,20260410,20260424,547
0,0,0,0,1,1,0,20260328,20260425,66
0,0,0,0,1,1,0,20260328,20260425,827
1,1,1,1,0,0,0,20260330,20260427,949
1,1,1,1,0,0,1,20260329,20260427,724
1,1,1,1,1,0,0,20260330,20260427,1265
1,1,1,1,1,0,1,20260329,20260427,131
1,1,1,1,1,0,1,20260329,20260427,1551
1,1,1,1,1,0,1,20260329,20260427,2028
1,1,1,1,1,1,0,20260328,20260427,461
